Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2023-01-28,,Freiburg,,,,Augsburg,,Europa-Park Stadion,,Head-to-Head,
18,Sat,2023-01-28,,Hoffenheim,,,,M'Gladbach,,PreZero Arena,,Head-to-Head,
18,Sat,2023-01-28,,Leverkusen,,,,Dortmund,,BayArena,,Head-to-Head,
18,Sat,2023-01-28,,Schalke 04,,,,Köln,,Veltins-Arena,,Head-to-Head,
18,Sat,2023-01-28,,Mainz 05,,,,Bochum,,Opel Arena,,Head-to-Head,
18,Sat,2023-01-28,,Hertha BSC,,,,Union Berlin,,Olympiastadion Berlin,,Head-to-Head,
18,Sat,2023-01-28,,Bayern Munich,,,,Eint Frankfurt,,Allianz Arena,,Head-to-Head,
,,,,,,,,,,,,,
19,Sat,2023-02-04,,Union Berlin,,,,Mainz 05,,Stadion An der Alten Försterei,,Head-to-Head,
19,Sat,2023-02-04,,M'Gladbach,,,,Schalke 04,,Stadion im Borussia-Park,,Head-to-Head,
19,Sat,2023-02-04,,Augsburg,,,,Leverkusen,,WWK Arena,,Head-to-Head,
19,Sat,2023-02-04,,Bochum,,,,Hoffenheim,,Vonovia Ruhrstadion,,Head-to-Head,
19,Sat,2023-02-04,,Eint Frankfurt,,,,Hertha BSC,,Commerzbank-Arena,,Head-to-Head,
19,Sat,2023-02-04,,Wolfsburg,,,,Bayern Munich,,Volkswagen Arena,,Head-to-Head,
19,Sat,2023-02-04,,Köln,,,,RB Leipzig,,RheinEnergieSTADION,,Head-to-Head,
19,Sat,2023-02-04,,Stuttgart,,,,Werder Bremen,,Mercedes-Benz Arena,,Head-to-Head,
19,Sat,2023-02-04,,Dortmund,,,,Freiburg,,Signal Iduna Park,,Head-to-Head,
,,,,,,,,,,,,,
20,Sat,2023-02-11,,Freiburg,,,,Stuttgart,,Europa-Park Stadion,,Head-to-Head,
20,Sat,2023-02-11,,Schalke 04,,,,Wolfsburg,,Veltins-Arena,,Head-to-Head,
20,Sat,2023-02-11,,Bayern Munich,,,,Bochum,,Allianz Arena,,Head-to-Head,
20,Sat,2023-02-11,,Mainz 05,,,,Augsburg,,Opel Arena,,Head-to-Head,
20,Sat,2023-02-11,,Hoffenheim,,,,Leverkusen,,PreZero Arena,,Head-to-Head,
20,Sat,2023-02-11,,Köln,,,,Eint Frankfurt,,RheinEnergieSTADION,,Head-to-Head,
20,Sat,2023-02-11,,RB Leipzig,,,,Union Berlin,,Red Bull Arena,,Head-to-Head,
20,Sat,2023-02-11,,Werder Bremen,,,,Dortmund,,Weserstadion,,Head-to-Head,
20,Sat,2023-02-11,,Hertha BSC,,,,M'Gladbach,,Olympiastadion Berlin,,Head-to-Head,
,,,,,,,,,,,,,
21,Sat,2023-02-18,,M'Gladbach,,,,Bayern Munich,,Stadion im Borussia-Park,,Head-to-Head,
21,Sat,2023-02-18,,Eint Frankfurt,,,,Werder Bremen,,Commerzbank-Arena,,Head-to-Head,
21,Sat,2023-02-18,,Union Berlin,,,,Schalke 04,,Stadion An der Alten Försterei,,Head-to-Head,
21,Sat,2023-02-18,,Bochum,,,,Freiburg,,Vonovia Ruhrstadion,,Head-to-Head,
21,Sat,2023-02-18,,Leverkusen,,,,Mainz 05,,BayArena,,Head-to-Head,
21,Sat,2023-02-18,,Augsburg,,,,Hoffenheim,,WWK Arena,,Head-to-Head,
21,Sat,2023-02-18,,Wolfsburg,,,,RB Leipzig,,Volkswagen Arena,,Head-to-Head,
21,Sat,2023-02-18,,Dortmund,,,,Hertha BSC,,Signal Iduna Park,,Head-to-Head,
21,Sat,2023-02-18,,Stuttgart,,,,Köln,,Mercedes-Benz Arena,,Head-to-Head,
,,,,,,,,,,,,,
22,Sat,2023-02-25,,Schalke 04,,,,Stuttgart,,Veltins-Arena,,Head-to-Head,
22,Sat,2023-02-25,,Mainz 05,,,,M'Gladbach,,Opel Arena,,Head-to-Head,
22,Sat,2023-02-25,,Freiburg,,,,Leverkusen,,Europa-Park Stadion,,Head-to-Head,
22,Sat,2023-02-25,,Bayern Munich,,,,Union Berlin,,Allianz Arena,,Head-to-Head,
22,Sat,2023-02-25,,RB Leipzig,,,,Eint Frankfurt,,Red Bull Arena,,Head-to-Head,
22,Sat,2023-02-25,,Köln,,,,Wolfsburg,,RheinEnergieSTADION,,Head-to-Head,
22,Sat,2023-02-25,,Hertha BSC,,,,Augsburg,,Olympiastadion Berlin,,Head-to-Head,
22,Sat,2023-02-25,,Hoffenheim,,,,Dortmund,,PreZero Arena,,Head-to-Head,
22,Sat,2023-02-25,,Werder Bremen,,,,Bochum,,Weserstadion,,Head-to-Head,
,,,,,,,,,,,,,
23,Sat,2023-03-04,,M'Gladbach,,,,Freiburg,,Stadion im Borussia-Park,,Head-to-Head,
23,Sat,2023-03-04,,Dortmund,,,,RB Leipzig,,Signal Iduna Park,,Head-to-Head,
23,Sat,2023-03-04,,Bochum,,,,Schalke 04,,Vonovia Ruhrstadion,,Head-to-Head,
23,Sat,2023-03-04,,Augsburg,,,,Werder Bremen,,WWK Arena,,Head-to-Head,
23,Sat,2023-03-04,,Leverkusen,,,,Hertha BSC,,BayArena,,Head-to-Head,
23,Sat,2023-03-04,,Stuttgart,,,,Bayern Munich,,Mercedes-Benz Arena,,Head-to-Head,
